Fri Feb 07 2020 22:17:05 GMT-0500 (Eastern Standard Time) - Run Time: 3081ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: 2006 GTA zone of origin - gta06_orig
Column: 2006 GTA zone of destination - gta06_dest
Table: Planning district of origin - pd_orig

RowG:
ColG:
TblG:(1)

Filters:
Start time of trip - start_time In 1500-1900
and
2006 GTA zone of origin - gta06_orig In 1-90
and
2006 GTA zone of destination - gta06_dest In 1-90

Trip 2016
ROW : gta06_orig
COLUMN : gta06_dest

TABLE    : pd_orig (PD 1 of Toronto)

  gta06_orig  gta06_dest      total
           1           3         31
           1           4         11
           1           5         14
           1          24         29
           1          76         23
           1          78         50
           2          39         18
           2          45         27
           3           1         22
           3           5         15
           3           6         16
           3          17          8
           3          18         25
           3          26          8
           3          32         10
           3          34         14
           3          38          5
           3          84         19
           4           5         27
           4          16         16
           4          17         30
           4          18         19
           4          20         16
           4          21         30
           4          26         19
           4          31          5
           4          52         15
           4          87         63
           5           1         14
           5           3          9
           5           4         17
           5           6         12
           5          14         41
           5          15         11
           5          16         30
           5          17         13
           5          22         43
           5          40          3
           5          46         17
           5          62         15
           5          64         15
           5          66         12
           5          72          5
           5          78         34
           5          89          6
           5          90         20
           6           1          9
           6           4          8
           6           6         22
           6          16         22
           6          17          5
           6          21         45
           6          34         11
           6          37         11
           6          40         16
           6          46         22
           6          50         19
           6          51         32
           6          58         12
           6          62         15
           6          69         24
           6          79         40
           6          80          4
           6          84         16
           6          89         37
           6          90         24
           7          11         12
           7          77         26
           9          10         37
           9          80         18
          10           4         10
          10          55         29
          11          59         47
          11          63         70
          11          90         67
          14           4         65
          14          15         17
          14          17         28
          14          26         17
          14          34         12
          14          37         16
          14          50         31
          14          59         34
          14          69         23
          14          72         24
          14          90         22
          15          10         52
          15          14         14
          15          15          7
          15          17         44
          15          19         13
          15          22         17
          15          25         49
          15          26        110
          15          34         63
          15          36         23
          15          47         20
          15          54         52
          15          57         19
          15          62         13
          15          64         18
          15          71          5
          15          84         23
          15          89         14
          15          90         32
          16           6         25
          16          14         25
          16          15         13
          16          16          9
          16          17         97
          16          19         21
          16          20         12
          16          21         40
          16          22         30
          16          24         67
          16          25        120
          16          31         21
          16          33          5
          16          35         10
          16          40         25
          16          46         18
          16          50         19
          16          55         21
          16          57         32
          16          59          9
          16          65         35
          16          66         55
          16          67         23
          16          71         18
          16          72         31
          16          77         14
          16          78         11
          16          79         25
          16          80         19
          16          84         43
          16          87         12
          16          89         58
          16          90         17
          17           6          5
          17          15         26
          17          16         30
          17          17        135
          17          18        108
          17          20         60
          17          21         63
          17          22         18
          17          23         18
          17          24         58
          17          25        107
          17          26         68
          17          34         10
          17          36         22
          17          37        116
          17          38         46
          17          44         24
          17          45         40
          17          46         16
          17          50         90
          17          52         59
          17          53         16
          17          55         17
          17          60          8
          17          63         15
          17          66         23
          17          67          8
          17          68         44
          17          69         68
          17          70         30
          17          90         22
          18          16         21
          18          17        153
          18          18         15
          18          19        107
          18          21          6
          18          22         78
          18          23         19
          18          24         23
          18          25         56
          18          35         15
          18          36         33
          18          37         15
          18          38        107
          18          43         36
          18          52         52
          18          58         54
          18          59         11
          18          67         15
          18          71         12
          18          82         35
          19          15         13
          19          17         20
          19          18        190
          19          19         73
          19          20         53
          19          21         83
          19          22         20
          19          23          5
          19          26         16
          19          30          4
          19          36          5
          19          37         67
          19          38          7
          19          40         14
          19          52         61
          19          54          3
          19          68         17
          19          70          3
          19          85          5
          19          90         16
          20          15          7
          20          18         14
          20          19         42
          20          20         17
          20          21         40
          20          22         17
          20          23          5
          20          26         19
          20          36         12
          20          38         10
          20          40         10
          20          43         23
          20          45         14
          20          46         12
          20          72          5
          20          73          7
          20          74         33
          21           1         19
          21           6         39
          21          15         92
          21          16         27
          21          17        220
          21          18         15
          21          19         69
          21          20         54
          21          21       1074
          21          22         98
          21          23         12
          21          24         77
          21          25         45
          21          26         49
          21          29         44
          21          34         86
          21          36         56
          21          37         60
          21          38         83
          21          39         57
          21          40        152
          21          41        175
          21          42        151
          21          43         92
          21          44         38
          21          45        100
          21          46        124
          21          47         74
          21          48         46
          21          49         13
          21          50         59
          21          51         48
          21          52         89
          21          53         67
          21          54         15
          21          55         51
          21          56         39
          21          57         78
          21          59        108
          21          60         18
          21          63          9
          21          64         79
          21          65         41
          21          66         61
          21          67          4
          21          68        121
          21          69        156
          21          70         24
          21          71         36
          21          72         91
          21          73         34
          21          77         18
          21          78         30
          21          79         57
          21          82         23
          21          84         60
          21          85         26
          21          89         68
          21          90         43
          22           3         54
          22           4         14
          22          15         14
          22          17         44
          22          18        172
          22          19         77
          22          20          6
          22          21        577
          22          22        165
          22          23         87
          22          24          5
          22          25        133
          22          37         16
          22          38         15
          22          40         41
          22          42         59
          22          45         15
          22          46         28
          22          52         39
          22          54         18
          22          67         20
          22          68          3
          22          69         41
          22          73         16
          22          74          7
          22          75        106
          22          79         72
          22          85         10
          23           4          5
          23          14          7
          23          18         58
          23          19         38
          23          21        188
          23          22         60
          23          23         10
          23          24         70
          23          25         24
          23          26         49
          23          34        114
          23          37         18
          23          38         27
          23          42         20
          23          43         34
          23          46         37
          23          50         59
          23          52         11
          23          53         46
          23          57         13
          23          58          6
          23          71         33
          23          72         31
          23          75          7
          23          76         30
          23          77         18
          23          78         18
          24           1         29
          24          14          5
          24          16         67
          24          17         17
          24          18         21
          24          21         19
          24          23         70
          24          24         13
          24          31          5
          24          34         34
          24          35         10
          24          37         82
          24          40         13
          24          48         67
          24          52         23
          24          55         25
          24          67         61
          24          68         31
          24          79         22
          25           5          5
          25           6         42
          25          14        125
          25          15         86
          25          16        103
          25          17        114
          25          18         22
          25          19         16
          25          20         32
          25          21         78
          25          22         16
          25          23         58
          25          24        214
          25          25        466
          25          26        115
          25          34         77
          25          35         98
          25          36         49
          25          37         68
          25          38        310
          25          39         20
          25          40         79
          25          41         36
          25          42         89
          25          43         19
          25          45         81
          25          46         83
          25          47         24
          25          48         18
          25          50        111
          25          51         28
          25          52        129
          25          53         32
          25          54         43
          25          55         27
          25          56         66
          25          57         48
          25          59         18
          25          61         44
          25          62         44
          25          63          5
          25          64         66
          25          65         24
          25          66        278
          25          67         84
          25          68        118
          25          69         12
          25          71        107
          25          72         34
          25          73         50
          25          75         66
          25          77         85
          25          78         18
          25          79         56
          25          80         67
          25          83          7
          25          84         64
          25          86         33
          25          89         81
          25          90        124
          26           4         19
          26          14         30
          26          15         12
          26          16         43
          26          18         13
          26          20         72
          26          21         15
          26          22        146
          26          24          5
          26          25        119
          26          26        155
          26          27         11
          26          30          5
          26          34        192
          26          35         62
          26          36         29
          26          37         52
          26          38         43
          26          44         35
          26          52         16
          26          54         22
          26          55         19
          26          56         17
          26          60         11
          26          62         17
          26          63         14
          26          64          9
          26          65         26
          26          66          5
          26          67         36
          26          69         19
          26          77         12
          26          78         41
          26          79        163
          26          81         14
          26          84         19
          26          89         14
          26          90         54
          27          26         14
          28          14         12
          28          30         33
          29           9         37
          29          21         39
          29          25         21
          29          31          6
          29          35         39
          29          36         12
          29          37         10
          29          38         19
          29          41         85
          29          58         10
          29          59         71
          29          60         22
          29          62         30
          29          66         37
          29          77         12
          29          78         30
          29          84         17
          29          90         41
          30          19          4
          30          45         18
          30          52         56
          30          55          4
          30          66         25
          30          82         14
          31          15         27
          31          17          5
          31          19         21
          31          23          5
          31          24          5
          31          25         12
          31          32         17
          31          37         19
          31          43         12
          31          59          6
          31          60         35
          31          61         55
          31          62         26
          31          64          9
          31          65         29
          31          79         10
          31          80         40
          31          81          7
          31          84         28
          32          21         10
          32          22         19
          32          38         30
          32          42         18
          32          48         13
          32          52         28
          32          57         22
          32          62         12
          32          64         10
          32          66         38
          32          89         20
          32          90         12
          33          20         15
          33          25         68
          33          34         20
          33          37          7
          33          38         30
          33          39         14
          33          54         18
          33          59         12
          33          60         10
          33          61         22
          33          62         15
          33          64         34
          33          72        123
