GTA06,x,Y
90,628167.558,4833440.874
17,632233.2049,4835271.11
18,632138.9019,4835626.831
23,631314.7514,4835494.155
24,631474.6797,4835018.74
67,629642.3138,4834462.688
68,629484.4009,4834962.291
75,628794.823,4834768.948
76,628939.2089,4834254.081
73,628462.8871,4835797.843
21,630985.6219,4836461.542
22,631168.0052,4835982.372
20,631804.917,4836563.512
19,632041.6865,4835993.567
43,630275.9962,4836774.132
45,629623.6881,4836683.368
44,629560.6615,4837232.011
71,628925.0003,4836697.826
72,628240.7508,4836481.925
81,630573.8659,4831275.183
77,629076.8003,4833836.873
66,629741.3098,4834043.195
78,629178.0436,4833490.092
65,629844.1877,4833715.303
79,629316.8579,4833137.337
62,630244.1038,4833035.378
55,630333.0225,4834230.313
57,630440.1895,4833903.268
56,630764.4813,4834010.784
54,630660.7193,4834335.352
58,630714.519,4833739.999
70,629131.7871,4836018.586
46,630041.0284,4836187.426
47,629728.2433,4836065.207
49,629869.0752,4835602.919
48,630201.4066,4835695.019
51,630055.0935,4835130.991
53,630216.2234,4834633.128
52,630512.4726,4834723.188
50,630352.2255,4835217.241
42,630293.8098,4836265.116
40,630457.2427,4835763.813
41,630542.8532,4836346.305
39,630707.7397,4835839.174
37,630872.2258,4834811.313
38,630727.3015,4835295.715
35,631054.1816,4834157.772
36,630996.191,4834441.053
16,632337.4751,4834875.187
25,631604.6884,4834582.203
2,635730.3614,4835282.535
11,632773.7776,4833542.062
10,633165.2664,4833904.766
9,633408.9026,4833074.33
6,634147.9566,4834597.579
63,630283.1062,4833444.071
64,629834.4086,4833296.414
59,630735.9484,4833548.24
60,630843.3025,4833378.975
26,631741.9425,4834183.035
29,631924.2828,4833717.865
27,631959.7168,4833954.548
15,632276.4259,4834413.587
14,632694.3735,4834670.626
12,632905.3222,4834383.016
13,632414.5521,4834073.84
5,633518.8729,4834872.074
4,634340.9282,4835252.474
8,634337.1042,4833925.464
7,634752.9256,4832414.629
87,627265.6585,4832064.702
83,628585.2726,4832528.247
86,627948.1121,4832119.305
84,628713.4211,4832869.124
82,629053.5675,4832452.251
80,629374.1157,4832780.492
69,629264.9154,4835508.544
74,628607.7436,4835320.068
32,631232.4377,4833635.17
31,631395.458,4833705.7
89,627483.8104,4832932.721
88,627156.4521,4832391.261
33,631093.2428,4833581.375
34,631178.3229,4833951.827
28,631633.4627,4833812.31
61,630900.1176,4833186.338
30,631352.2796,4833409.885
1,636098.9136,4836052.111
3,635119.6445,4835638.018
