Fri Feb 07 2020 21:25:37 GMT-0500 (Eastern Standard Time) - Run Time: 3054ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: 2006 GTA zone of origin - gta06_orig
Column: 2006 GTA zone of destination - gta06_dest
Table: Planning district of destination - pd_dest

RowG:
ColG:
TblG:(1)

Filters:
2006 GTA zone of destination - gta06_dest In 1-90
and
2006 GTA zone of origin - gta06_orig In 1-90

Trip 2016
ROW : gta06_orig
COLUMN : gta06_dest

TABLE    : pd_dest (PD 1 of Toronto)

  gta06_orig  gta06_dest      total
           1           1          8
           1           3        106
           1           4         60
           1           5         14
           1           6          8
           1           9         11
           1          14          8
           1          18         15
           1          21         36
           1          24         48
           1          26         55
           1          34         43
           1          35         14
           1          36         11
           1          37         25
           1          46         17
           1          49          6
           1          53         14
           1          55         47
           1          56         36
           1          57         82
           1          65         15
           1          68         14
           1          69         20
           1          71          7
           1          76         46
           1          77         20
           1          78         50
           1          81         26
           2           3         12
           2          17          5
           2          25          8
           2          34         17
           2          39         18
           2          40         30
           2          45         27
           2          49         26
           2          65          6
           2          72         14
           3           1        150
           3           4         25
           3           5         31
           3           6         60
           3          16          6
           3          17         33
           3          18         25
           3          19         15
           3          21         14
           3          22         54
           3          23         27
           3          25         12
           3          26          8
           3          32         10
           3          34         14
           3          38          5
           3          79         43
           3          80          4
           3          82          4
           3          84         19
           3          90         13
           4           1         67
           4           3         25
           4           4         10
           4           5         57
           4           6          9
           4          10         29
           4          16         46
           4          17         51
           4          18         19
           4          20         16
           4          21         30
           4          22         15
           4          25         14
           4          26         19
           4          31          5
           4          52         15
           4          62         15
           4          64         18
           4          66         61
           4          71          9
           4          76         35
           4          87         63
           4          90          4
           5           1         14
           5           3         75
           5           4         72
           5           6         12
           5          11          7
           5          14         41
           5          15         11
           5          16         51
           5          17         13
           5          20          3
           5          21         28
           5          22         43
           5          23         46
           5          24         50
           5          25         35
           5          38         16
           5          40          3
           5          46         17
           5          47        153
           5          54         20
           5          62         15
           5          63          5
           5          64         15
           5          65         32
           5          66         12
           5          72          5
           5          77         12
           5          78         42
           5          89         20
           5          90         52
           6           1         17
           6           3        120
           6           4         17
           6           5         26
           6           6         72
           6          16         35
           6          17         49
           6          19         18
           6          21         73
           6          22         13
           6          25         27
           6          26         16
           6          34         44
           6          36         33
           6          37         11
           6          40         16
           6          46         22
           6          50         19
           6          51         32
           6          55         14
           6          58         12
           6          60         14
           6          62         15
           6          64         27
           6          66         18
           6          69         24
           6          71         61
           6          77         21
           6          79         77
           6          80          4
           6          84         16
           6          89         41
           6          90         24
           7          11         12
           7          77         26
           8           3          9
           9           1         11
           9          10         37
           9          11         14
           9          16         25
           9          17          5
           9          34          6
           9          36         11
           9          42         17
           9          51         15
           9          68         25
           9          80         18
          10           4         19
          10          15        121
          10          16         25
          10          41         37
          10          46         29
          10          51          5
          10          55         29
          10          58         28
          10          65         29
          10          76         27
          10          80         14
          11           9         14
          11          11         39
          11          15         27
          11          21         77
          11          25         49
          11          30          6
          11          43         29
          11          50         24
          11          59         47
          11          60         43
          11          62         14
          11          63         76
          11          65         27
          11          67         25
          11          71         14
          11          80         14
          11          90         72
          13           3          9
          13          25         21
          13          71          5
          14           1          8
          14           4         65
          14           5         41
          14          15         30
          14          16         67
          14          17         46
          14          24          5
          14          25        139
          14          26         73
          14          28         12
          14          33         14
          14          34         12
          14          36         51
          14          37         34
          14          38          7
          14          45         14
          14          50         44
          14          52         22
          14          55         31
          14          57         40
          14          59         34
          14          60         39
          14          66         50
          14          69         23
          14          72         24
          14          90         22
          15           5         11
          15          10         52
          15          11         27
          15          14         46
          15          15        171
          15          16         56
          15          17         44
          15          18         12
          15          19         18
          15          20          7
          15          21         38
          15          22         44
          15          24          5
          15          25        187
          15          26        179
          15          28         26
          15          29         10
          15          32         25
          15          34        107
          15          35         32
          15          36        156
          15          37         22
          15          38         19
          15          39         43
          15          40         78
          15          41         70
          15          42         84
          15          43         39
          15          44        177
          15          45         34
          15          47         33
          15          49         61
          15          50         29
          15          51         71
          15          52        133
          15          53         62
          15          54         80
          15          55         62
          15          56         38
          15          57        140
          15          58         16
          15          59         14
          15          60         24
          15          61         14
          15          62         13
          15          63         31
          15          64         35
          15          65         66
          15          66        154
          15          67         70
          15          68         26
          15          69         54
          15          70         15
          15          71          5
          15          74         22
          15          75         38
          15          77         60
          15          78         54
          15          84         40
          15          88         20
          15          90         54
          16           3         18
          16           4         46
          16           5         43
          16           6         37
          16           9         25
          16          10         25
          16          14         83
          16          15         16
          16          16         78
          16          17        249
          16          18        143
          16          19         21
          16          20         30
          16          21        109
          16          22         45
          16          23         74
          16          24        178
          16          25        207
          16          26         33
          16          31         21
          16          33          5
          16          34         38
          16          35         32
          16          36         23
          16          37         47
          16          38         11
          16          39         21
          16          40         98
          16          42         20
          16          43         13
          16          44         25
          16          45         12
          16          46         33
          16          47         10
          16          50         19
          16          51         45
          16          52         30
          16          53          7
          16          54         89
          16          55        139
          16          56         29
          16          57         65
          16          59         54
          16          60         21
          16          62         11
          16          63         12
          16          64          3
          16          65         88
          16          66        128
          16          67         57
          16          68         87
          16          69         53
          16          70         19
          16          71         18
          16          72         31
          16          73         17
          16          77         54
          16          78         33
          16          79         29
          16          80         19
          16          81         10
          16          84         43
          16          87         12
          16          89         58
          16          90         72
          17           2          5
          17           3         26
          17           5         13
          17           6         21
          17           9          5
          17          11         12
          17          15         70
          17          16        118
          17          17        359
          17          18        203
          17          19        121
          17          20         80
          17          21        241
          17          22         81
          17          23         55
          17          24        108
          17          25        298
          17          26         68
          17          31         14
          17          32          8
          17          34         10
          17          35         78
          17          36         86
          17          37        169
          17          38        259
          17          39         13
          17          40         66
          17          41         10
          17          42         96
          17          43         26
          17          44         40
          17          45        125
          17          46         60
          17          47         31
          17          48         50
          17          49         66
          17          50        232
          17          51         62
          17          52        256
          17          53         67
          17          54         28
          17          55         90
          17          56         76
          17          57         61
          17          58         11
          17          59         12
          17          60         13
          17          62         43
          17          63         32
          17          65         18
          17          66        281
          17          67         94
          17          68        172
          17          69        188
          17          70         55
          17          71         45
          17          72         27
          17          73         10
          17          75         24
          17          77         35
          17          78        183
          17          79         15
          17          81         14
          17          90        106
          18           4         19
          18          16         64
          18          17        406
          18          18         53
          18          19        412
          18          21         37
          18          22        363
          18          23        106
          18          24         79
          18          25         77
          18          26         13
          18          34         52
          18          35         15
          18          36         44
          18          37         22
          18          38        191
          18          40         95
          18          43         70
          18          45         37
          18          49         32
          18          50          5
          18          51         69
          18          52         86
          18          53         31
          18          54         28
          18          55         75
          18          56         64
          18          57         73
          18          58         54
          18          59         22
          18          60         54
          18          62         68
          18          65         32
          18          66         32
          18          67         95
          18          68         93
          18          69         21
          18          71         12
          18          77         15
          18          82         35
          19           6         18
          19          14          3
          19          15         30
          19          17         35
          19          18        496
          19          19        256
          19          20        132
          19          21        213
          19          22        119
          19          23        118
          19          24         21
          19          25         45
          19          26         16
          19          30          4
          19          31         21
          19          36          8
          19          37         81
          19          38         45
          19          40         14
          19          41         19
          19          42         31
          19          43         13
          19          45         13
          19          46          4
          19          47        104
          19          48         32
          19          49         40
          19          50         54
          19          51         48
          19          52         61
          19          53          9
          19          54         31
          19          55         25
          19          56          5
          19          57          3
          19          63         29
          19          65          5
          19          66          3
          19          67          4
          19          68         59
          19          69         82
          19          70          3
          19          80         17
          19          81         14
          19          85          5
          19          90         34
          20           5         24
          20           6          3
          20          14          4
          20          15          7
          20          16         33
          20          17         70
          20          18         14
          20          19        126
          20          20         32
          20          21         89
          20          22         29
          20          23         31
          20          24          5
          20          25         21
          20          26        128
          20          33         15
          20          35          5
          20          36         16
          20          37          7
          20          38         60
          20          40         10
          20          43         74
          20          45         69
          20          46         25
          20          48          3
          20          49          4
          20          50         10
          20          51         17
          20          52          5
          20          54         11
          20          55         37
          20          56         35
          20          57         76
          20          60         38
          20          65         50
          20          66         19
          20          67         52
          20          68          3
          20          69         36
          20          70          5
          20          71          7
          20          72          5
          20          73          7
          20          74         33
          20          78         14
          20          80         17
          21           1         26
          21           3         14
          21           6         84
          21          11         77
          21          15         92
          21          16         86
          21          17        272
          21          18         31
          21          19        220
          21          20         91
          21          21       1991
          21          22        873
          21          23        188
          21          24        159
          21          25        203
          21          26         64
          21          29        122
          21          32         10
          21          33         30
          21          34        104
          21          35        114
          21          36        323
          21          37        182
          21          38        234
          21          39        120
          21          40        158
          21          41        264
          21          42        308
          21          43        456
          21          44        178
          21          45        430
          21          46        219
          21          47        217
          21          48        123
          21          49        105
          21          50        209
          21          51        420
          21          52        319
          21          53        211
          21          54        173
          21          55        150
          21          56        106
          21          57        459
          21          58         31
          21          59        108
          21          60         68
          21          62         28
          21          63         25
          21          64         79
          21          65        400
          21          66        261
          21          67        157
          21          68        451
          21          69        586
          21          70        246
          21          71         72
          21          72        210
          21          73        133
          21          74         52
          21          75        154
          21          77        109
          21          78         46
          21          79         79
          21          81         19
          21          82         23
          21          84        150
          21          85         26
          21          89        106
          21          90        257
          22           3         80
          22           4         28
          22           5         43
          22           6         13
          22          15         31
          22          16         94
          22          17         75
          22          18        255
          22          19        152
          22          20         32
          22          21        788
          22          22        429
          22          23        333
          22          24          5
          22          25        280
          22          26        113
          22          29         28
          22          32         19
          22          34         15
          22          35         81
          22          36        182
          22          37        108
          22          38        225
          22          39        126
          22          40        119
          22          41         20
          22          42        133
          22          43        109
          22          45        142
          22          46        128
          22          47         44
          22          48         63
          22          49        126
          22          50         85
          22          51         75
          22          52        154
          22          53          3
          22          54        146
          22          55         59
          22          56         51
          22          57        152
          22          58         22
          22          60         33
          22          62         53
          22          63         44
          22          64         12
          22          65         47
          22          66        306
          22          67        199
          22          68        275
          22          69        238
          22          70         65
          22          71         33
          22          72         60
          22          73         44
          22          74         47
          22          75        117
          22          76         37
          22          77         46
          22          78         18
          22          79        109
          22          80         46
          22          81          5
          22          84         17
          22          85         10
          22          90         27
          23           4          5
          23          14          7
          23          16         70
          23          17         71
          23          18        110
          23          19        119
          23          20         24
          23          21        210
          23          22        397
          23          23        220
          23          24        108
          23          25        119
          23          26         49
          23          31         58
          23          34        114
          23          36        148
          23          37         53
          23          38        184
          23          39         29
          23          40         84
          23          42         20
          23          43         39
          23          45         67
          23          46         37
          23          47          5
          23          49         18
          23          50        147
          23          52        140
          23          53         46
          23          54         28
          23          55         20
          23          56         37
          23          57         35
          23          58          6
          23          60         13
          23          63        111
          23          65         84
          23          66         37
          23          67         55
          23          69          5
          23          71         55
          23          72        158
          23          75          7
          23          76         35
          23          77         18
          23          78         18
          23          90         56
          24           1         48
          24           5         34
          24          10          5
          24          14          5
          24          15         18
          24          16        154
          24          17         27
          24          18         21
          24          19         15
          24          20          5
          24          21         79
          24          22         10
          24          23        108
          24          24         80
          24          25        233
          24          26         27
          24          31          5
          24          33          6
          24          34         68
          24          35         10
          24          36         44
          24          37        170
          24          38        417
          24          39        102
          24          40         46
          24          45        108
          24          48         67
          24          49         62
          24          50         59
          24          52        266
          24          54         16
          24          55        114
          24          56         81
          24          57         10
          24          62         48
          24          63         17
          24          67        179
          24          68         88
          24          69        112
          24          71         40
          24          72         14
          24          76         62
          24          77         43
          24          78         43
          24          79         22
          24          84         21
          24          88         23
          24          89         49
          24          90         19
          25           2          8
          25           4         15
          25           5         51
          25           6         53
          25          11         37
          25          14        153
          25          15        194
          25          16        345
          25          17        298
          25          18         51
          25          19         49
          25          20         52
          25          21        227
          25          22        270
          25          23        132
          25          24        238
          25          25        815
          25          26        267
          25          27          9
          25          29         92
          25          33         33
          25          34        212
          25          35        305
          25          36        406
          25          37        266
          25          38        627
          25          39         56
          25          40        142
          25          41         49
          25          42        225
          25          43         81
          25          44         67
          25          45        197
          25          46        104
          25          47        182
          25          48         45
          25          49         39
          25          50        233
          25          51        287
          25          52        342
          25          53         83
          25          54        303
          25          55        393
          25          56        382
          25          57        426
          25          59         54
          25          60         82
          25          61         44
          25          62        183
          25          63        169
          25          64         85
          25          65        260
          25          66        553
          25          67        599
          25          68        232
          25          69         73
          25          70         68
          25          71        144
          25          72         60
          25          73        182
          25          74         22
          25          75         66
