Fri Feb 07 2020 21:38:16 GMT-0500 (Eastern Standard Time) - Run Time: 3498ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: 2006 GTA zone of origin - gta06_orig
Column: Straight line trip length in Metre - trip_m
Table: Planning district of destination - pd_dest

RowG:
ColG:
TblG:(1)

Filters:
2006 GTA zone of destination - gta06_dest In 1-90
and
2006 GTA zone of origin - gta06_orig In 1-90

Trip 2016
ROW : gta06_orig
COLUMN : trip_m

TABLE    : pd_dest (PD 1 of Toronto)

  gta06_orig      trip_m      total
           1         171          8
           1         952          9
           1         963          9
           1        1262          7
           1        1660         12
           1        1670          9
           1        1685          6
           1        1736         41
           1        1747          8
           1        1783         11
           1        1833          6
           1        1899         12
           1        1908         13
           1        1933         17
           1        2571         14
           1        2692         14
           1        4059          8
           1        4094         15
           1        4761         11
           1        4925         19
           1        4950         19
           1        5161          8
           1        5339         55
           1        5377         14
           1        5461          9
           1        5518         29
           1        5630         11
           1        5719         17
           1        5731         14
           1        5874         17
           1        5900          4
           1        5905         15
           1        5910         43
           1        6140          4
           1        6144         26
           1        6182         41
           1        6226         14
           1        6247         20
           1        6319         16
           1        6362          7
           1        6389         17
           1        6432         14
           1        6537         15
           1        6554          6
           1        6557         22
           1        6725         14
           1        6923         11
           1        7129          9
           1        7231         14
           1        7258          7
           1        7596          7
           1        7618         46
           1        7869         50
           2        1652         12
           2        3917          5
           2        5196         26
           2        5306         27
           2        5445         14
           2        5661         17
           2        5958         30
           2        6010         18
           2        7617         14
           3         273         16
           3         291         26
           3         734         25
           3         763         19
           3         952          9
           3         963          9
           3        1004         15
           3        1135         24
           3        1262          7
           3        1482         15
           3        1554         11
           3        1660         12
           3        1670          9
           3        1685          6
           3        1704          9
           3        1736         41
           3        1908         13
           3        2186          6
           3        2599          8
           3        2600         26
           3        2994         15
           3        3245         27
           3        3270          8
           3        3472         12
           3        3521         25
           3        3640         54
           3        3868         14
           3        4040         10
           3        4091          5
           3        4349         14
           3        5771         30
           3        5964          4
           3        6222         13
           3        6532          4
           3        7039         19
           3        7410         13
           4         601         10
           4         734         25
           4         772         15
           4         894         15
           4         985         10
           4        1106         17
           4        1164          9
           4        1783         11
           4        1881         12
           4        1899         12
           4        1933         17
           4        2058         21
           4        2097         29
           4        2278         31
           4        2517         15
           4        2521         15
           4        2550         15
           4        2571         14
           4        2930         19
           4        2975         14
           4        3098         16
           4        3444         19
           4        3600         15
           4        3660         30
           4        3665          5
           4        3687         15
           4        4817         47
           4        5037         15
           4        5234         13
           4        5462         18
           4        5646          9
           4        5669         35
           4        6144          4
           4        7514         63
           5         451         15
           5         894         15
           5         985         10
           5        1004         15
           5        1008         41
           5        1080         15
           5        1101         26
           5        1102         10
           5        1106         26
           5        1288         30
           5        1323         21
           5        1403         12
           5        1412         17
           5        1482         15
           5        1547          7
           5        1639         34
           5        1815         13
           5        1828         11
           5        1973         18
           5        2228         46
           5        2251          3
           5        2411         17
           5        2535         18
           5        2692         14
           5        2972         16
           5        3113         17
           5        3168          3
           5        3218         15
           5        3244         25
           5        3327         28
           5        3420         20
           5        3801         15
           5        3834          5
           5        3874         34
           5        3901         18
           5        4255        153
           5        4428         12
           5        4618         12
           5        4716         15
           5        4761         19
           5        4765          8
           5        5468          5
           5        5885         20
           5        6254         20
           5        6294         12
           6           0         12
           6         173          8
           6         259         58
           6         273          9
           6         763         19
           6         947         26
           6         983         25
           6        1033         13
           6        1159         10
           6        1164          9
           6        1414         22
           6        1645         15
           6        1660         10
           6        1747          8
           6        1752          9
           6        1881         16
           6        2073         16
           6        2316         12
           6        2409          5
           6        2687         16
           6        2699         22
           6        2753         28
           6        2818         33
           6        3162         18
           6        3164         11
           6        3176         45
           6        3250         13
           6        3314         11
           6        3566         28
           6        3595         33
           6        3648         14
           6        3695         11
           6        3705         12
           6        3864         19
           6        3991         14
           6        4112         18
           6        4236         16
           6        4313         15
           6        4319         18
           6        4426         21
           6        4478         22
           6        4701         22
           6        4733         32
           6        5000          4
           6        5235         24
           6        5293         27
           6        5302         61
           6        5478         22
           6        5938         16
           6        6025         17
           6        6159         15
           6        6205          7
           6        6514          4
           6        7277         37
           7        2183         12
           7        6034         26
           8        2191          9
           9         914         14
           9        1247         37
           9        2330         25
           9        2608          6
           9        2641          5
           9        2999         11
           9        3676         18
           9        4337         15
           9        4390         25
           9        4761         11
           9        4827         17
          10         660        121
          10        1418         12
          10        1428         12
          10        1497         10
          10        2097         10
          10        2348         28
          10        2735         29
          10        3406          5
          10        3420         37
          10        3543         29
          10        3635         29
          10        3764         14
          10        4362         14
          10        4399         14
          11         277         39
          11         914         14
          11        1006         27
          11        1483         12
          11        1520         12
          11        1644          6
          11        1813         25
          11        1919         33
          11        1993         43
          11        2200         14
          11        2238         70
          11        2529          6
          11        2917         14
          11        3060         27
          11        3205         25
          11        3220         77
          11        3380         24
          11        3532         14
          11        4361         29
          11        4612         67
          11        4930          5
          11        5485         14
          13        1173         21
          13        2562          9
          13        4198          5
          14         288         25
          14         301          4
          14         320         25
          14         342         14
          14         418         17
          14         496         13
          14         520         18
          14         606         28
          14         663         17
          14         752         14
          14         908         30
          14         910          5
          14        1008         41
          14        1026         12
          14        1123         54
          14        1131         34
          14        1179         51
          14        1313         24
          14        1343         12
          14        1403         14
          14        1711         12
          14        1827         14
          14        1848          3
          14        1922         18
          14        1928         22
          14        1931         16
          14        2017         34
          14        2070         14
          14        2090          7
          14        2102         18
          14        2141         19
          14        2242         19
          14        2247         15
          14        2259         14
          14        2276         65
          14        2370         22
          14        2398         17
          14        2412         16
          14        2593         14
          14        2708         18
          14        3097         18
          14        3276         14
          14        3504         23
          14        3575         14
          14        4059          8
          14        4357         24
          14        4917         22
          15          11         32
          15         101         16
          15         197         14
          15         220          7
          15         297        117
          15         370         14
          15         393         16
          15         401         14
          15         450         11
          15         496         13
          15         505          7
          15         524         14
          15         555         13
          15         558         58
          15         573         19
          15         612         14
          15         629         13
          15         635         26
          15         663         15
          15         682         30
          15         689         12
          15         714         19
          15         749         26
          15         774          5
          15         780         21
          15         781         17
          15         807         12
          15         880          9
          15         891         36
          15         939          6
          15         950         52
