Fri Feb 07 2020 22:28:36 GMT-0500 (Eastern Standard Time) - Run Time: 2867ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: 2006 GTA zone of origin - gta06_orig
Column: Straight line trip length in Metre - trip_m
Table: Planning district of origin - pd_orig

RowG:
ColG:
TblG:(1)

Filters:
Start time of trip - start_time In 1900-2400
and
2006 GTA zone of origin - gta06_orig In 1-90
and
2006 GTA zone of destination - gta06_dest In 1-90

Trip 2016
ROW : gta06_orig
COLUMN : trip_m

TABLE    : pd_orig (PD 1 of Toronto)

  gta06_orig      trip_m      total
           1        1736         41
           1        1783         11
           1        4059          8
           1        4925         19
           1        5518         29
           2        1652         12
           2        5445          8
           2        5661         17
           2        5958         30
           3         952          9
           3         963          9
           3        1736         41
           3        2600         26
           3        3472         12
           3        3640         54
           3        3868         14
           3        5771         30
           3        7410         13
           4         772         15
           4        1783         11
           4        2058         21
           4        2278         16
           4        2975         14
           4        5037         15
           4        5462         18
           4        5669         35
           5        1547          7
           5        1828         11
           5        2411         17
           5        2535         18
           5        4255        153
           5        4428         12
           5        4618         12
           5        5885         20
           5        6294         12
           6        1660         10
           6        2073         16
           6        3566         28
           6        3991         14
           6        4112         18
           6        4426         21
           6        5938         16
           6        6159         15
           6        6514          4
           6        7277         37
           8        2191          9
           9        2999         11
           9        3676         18
           9        4337         15
          10         660        121
          10        1418         12
          10        1428         12
          10        2348         28
          10        3420         37
          10        3543         29
          10        3635         29
          10        3764         14
          10        4362         14
          10        4399         14
          10        5795         41
          11        1813         25
          11        1993         43
          11        3060         27
          11        3205         25
          11        3220         38
          11        3380         24
          11        4361         29
          11        5485         14
          13        4198          5
          14         288         25
          14         320         25
          14         496         13
          14         520         18
          14         752         14
          14         910          5
          14        1026         12
          14        1928         22
          14        4059          8
          14        4357         24
          15          11         32
          15         220          7
          15         450         11
          15         573         19
          15         880          9
          15         939          6
          15         950         52
          15        1137         14
          15        1267         17
          15        1505         10
          15        1560          5
          15        1569         11
          15        1576         73
          15        1891         19
          15        2037          7
          15        2292         19
          15        2318         19
          15        2382          9
          15        2398         44
          15        2405         10
          15        2411         10
          15        2418         25
          15        2447         17
          15        2629         15
          15        2646         15
          15        2786         84
          15        2880         29
          15        3285          8
          15        3380         19
          15        3393         14
          15        3446          7
          15        3568        121
          15        3859         12
          15        4126         17
          15        4162         33
          15        5457         19
          15        5650         20
          16         288         25
          16         320         25
          16         342         14
          16         584         27
          16         849         15
          16        1090         21
          16        1188         21
          16        1418         12
          16        1428         12
          16        1516         18
          16        1616         16
          16        1826         33
          16        1902         11
          16        2074         17
          16        2093         20
          16        2175         21
          16        2268         18
          16        2609         10
          16        3018         12
          16        3349          3
          16        4102         17
          16        4993         22
          17          59         37
          17         443         12
          17         673         26
          17         850         20
          17         881         22
          17        1000         22
          17        1122         19
          17        1137         14
          17        1331         11
          17        1443         30
          17        1475         13
          17        1689         31
          17        1714         14
          17        1727         31
          17        1778         28
          17        1888         23
          17        2103         43
          17        2276         21
          17        2384         30
          17        2451         55
          17        2600         26
          17        2741          8
          17        2984         19
          17        3558         14
          17        3950         29
          17        4318         14
          18         270         14
          18         280         30
          18         379         16
          18         416         28
          18         535         14
          18        1794         14
          18        1955         15
          18        2007         20
          18        2053         16
          18        2132         10
          18        2866         11
          18        2870         16
          19          19         11
          19         280         30
          19         416         28
          19         487          4
          19         535         29
          19         561         20
          19         702          3
          19         743         10
          19         815         23
          19         875         29
          19        1488         19
          19        1496         17
          19        1560          5
          19        2377         14
          20         634          6
          20         649          6
          20         687         25
          20         702          3
          20         821          5
